"","zipcode","clust_mc"
"1","10001",2
"2","10002",2
"3","10003",2
"4","10004",1
"5","10005",1
"6","10006",1
"7","10007",2
"8","10009",2
"9","10010",2
"10","10011",2
"11","10012",2
"12","10013",2
"13","10014",2
"14","10016",2
"15","10017",2
"16","10018",1
"17","10019",2
"18","10020",1
"19","10021",2
"20","10022",2
"21","10023",2
"22","10024",2
"23","10025",2
"24","10026",2
"25","10027",2
"26","10028",2
"27","10029",2
"28","10030",2
"29","10031",2
"30","10032",2
"31","10033",2
"32","10034",2
"33","10035",2
"34","10036",2
"35","10037",2
"36","10038",2
"37","10039",2
"38","10040",2
"39","10044",1
"40","10045",1
"41","10055",1
"42","10065",2
"43","10069",1
"44","10075",2
"45","10103",1
"46","10105",1
"47","10106",1
"48","10110",1
"49","10118",1
"50","10119",1
"51","10120",1
"52","10121",1
"53","10122",1
"54","10123",1
"55","10128",2
"56","10151",1
"57","10155",1
"58","10158",1
"59","10165",1
"60","10169",1
"61","10170",1
"62","10175",1
"63","10176",1
"64","10271",1
"65","10278",1
"66","10280",1
"67","10281",1
"68","10282",1
"69","10301",3
"70","10302",3
"71","10303",2
"72","10304",3
"73","10305",3
"74","10306",3
"75","10307",3
"76","10308",3
"77","10309",3
"78","10310",3
"79","10312",3
"80","10314",3
"81","10451",2
"82","10452",2
"83","10453",2
"84","10454",2
"85","10455",3
"86","10456",3
"87","10457",3
"88","10458",3
"89","10459",3
"90","10460",3
"91","10461",3
"92","10462",3
"93","10463",2
"94","10464",2
"95","10465",3
"96","10466",3
"97","10467",3
"98","10468",2
"99","10469",3
"100","10470",3
"101","10471",3
"102","10472",3
"103","10473",3
"104","10474",2
"105","10475",2
"106","11001",3
"107","11004",3
"108","11005",1
"109","11040",3
"110","11096",1
"111","11101",2
"112","11102",3
"113","11103",3
"114","11104",3
"115","11105",3
"116","11106",3
"117","11109",1
"118","11201",2
"119","11203",3
"120","11204",3
"121","11205",3
"122","11206",3
"123","11207",2
"124","11208",3
"125","11209",3
"126","11210",3
"127","11211",3
"128","11212",3
"129","11213",3
"130","11214",3
"131","11215",3
"132","11216",3
"133","11217",2
"134","11218",3
"135","11219",3
"136","11220",3
"137","11221",3
"138","11222",3
"139","11223",3
"140","11224",2
"141","11225",3
"142","11226",3
"143","11228",3
"144","11229",3
"145","11230",3
"146","11231",3
"147","11232",2
"148","11233",3
"149","11234",2
"150","11235",3
"151","11236",3
"152","11237",3
"153","11238",3
"154","11239",2
"155","11241",1
"156","11249",2
"157","11251",1
"158","11354",3
"159","11355",3
"160","11356",3
"161","11357",3
"162","11358",3
"163","11359",1
"164","11360",3
"165","11361",3
"166","11362",3
"167","11363",3
"168","11364",3
"169","11365",3
"170","11366",3
"171","11367",3
"172","11368",3
"173","11369",3
"174","11370",2
"175","11371",1
"176","11372",3
"177","11373",3
"178","11374",3
"179","11375",3
"180","11377",3
"181","11378",3
"182","11379",3
"183","11385",3
"184","11411",3
"185","11412",3
"186","11413",3
"187","11414",3
"188","11415",3
"189","11416",3
"190","11417",3
"191","11418",3
"192","11419",3
"193","11420",3
"194","11421",3
"195","11422",3
"196","11423",3
"197","11426",3
"198","11427",3
"199","11428",3
"200","11429",3
"201","11432",3
"202","11433",3
"203","11434",3
"204","11435",3
"205","11436",3
"206","11451",1
"207","11691",3
"208","11692",3
"209","11693",2
"210","11694",3
"211","11695",1
"212","11697",1
