"","zipcode","Clust_M"
"1",10001,9
"2",10002,9
"3",10003,6
"4",10004,9
"5",10005,9
"6",10006,9
"7",10007,9
"8",10009,6
"9",10010,9
"10",10011,6
"11",10012,6
"12",10013,6
"13",10014,6
"14",10016,6
"15",10017,9
"16",10018,9
"17",10019,9
"18",10020,9
"19",10021,6
"20",10022,9
"21",10023,6
"22",10024,6
"23",10025,6
"24",10026,6
"25",10027,6
"26",10028,6
"27",10029,6
"28",10030,6
"29",10031,6
"30",10032,6
"31",10033,6
"32",10034,6
"33",10035,6
"34",10036,9
"35",10037,6
"36",10038,9
"37",10039,6
"38",10040,6
"39",10044,9
"40",10045,9
"41",10055,9
"42",10065,6
"43",10069,9
"44",10075,6
"45",10103,9
"46",10105,9
"47",10106,9
"48",10110,9
"49",10118,9
"50",10119,9
"51",10120,9
"52",10121,9
"53",10122,9
"54",10123,9
"55",10128,6
"56",10151,9
"57",10155,9
"58",10158,9
"59",10165,9
"60",10169,9
"61",10170,9
"62",10175,9
"63",10176,9
"64",10271,9
"65",10278,9
"66",10280,9
"67",10281,9
"68",10282,9
"69",10301,3
"70",10302,3
"71",10303,3
"72",10304,3
"73",10305,3
"74",10306,3
"75",10307,3
"76",10308,4
"77",10309,3
"78",10310,3
"79",10312,3
"80",10314,3
"81",10451,6
"82",10452,7
"83",10453,7
"84",10454,7
"85",10455,7
"86",10456,7
"87",10457,7
"88",10458,2
"89",10459,7
"90",10460,7
"91",10461,4
"92",10462,4
"93",10463,7
"94",10464,3
"95",10465,4
"96",10466,3
"97",10467,7
"98",10468,2
"99",10469,4
"100",10470,4
"101",10471,7
"102",10472,7
"103",10473,4
"104",10474,6
"105",10475,6
"106",11001,1
"107",11004,1
"108",11005,9
"109",11040,4
"110",11096,5
"111",11101,6
"112",11102,7
"113",11103,4
"114",11104,4
"115",11105,4
"116",11106,2
"117",11109,9
"118",11201,6
"119",11203,1
"120",11204,4
"121",11205,6
"122",11206,7
"123",11207,7
"124",11208,4
"125",11209,1
"126",11210,1
"127",11211,7
"128",11212,7
"129",11213,7
"130",11214,4
"131",11215,4
"132",11216,4
"133",11217,7
"134",11218,4
"135",11219,7
"136",11220,4
"137",11221,7
"138",11222,7
"139",11223,4
"140",11224,3
"141",11225,7
"142",11226,7
"143",11228,1
"144",11229,4
"145",11230,1
"146",11231,6
"147",11232,6
"148",11233,7
"149",11234,4
"150",11235,4
"151",11236,4
"152",11237,7
"153",11238,7
"154",11239,7
"155",11241,9
"156",11249,6
"157",11251,9
"158",11354,3
"159",11355,4
"160",11356,4
"161",11357,3
"162",11358,1
"163",11359,9
"164",11360,4
"165",11361,4
"166",11362,4
"167",11363,8
"168",11364,4
"169",11365,1
"170",11366,1
"171",11367,4
"172",11368,4
"173",11369,4
"174",11370,4
"175",11371,6
"176",11372,1
"177",11373,4
"178",11374,4
"179",11375,1
"180",11377,4
"181",11378,4
"182",11379,4
"183",11385,4
"184",11411,1
"185",11412,1
"186",11413,1
"187",11414,4
"188",11415,1
"189",11416,4
"190",11417,1
"191",11418,1
"192",11419,1
"193",11420,1
"194",11421,4
"195",11422,1
"196",11423,1
"197",11426,1
"198",11427,1
"199",11428,1
"200",11429,1
"201",11430,9
"202",11432,1
"203",11433,4
"204",11434,4
"205",11435,1
"206",11436,4
"207",11451,9
"208",11691,3
"209",11692,4
"210",11693,4
"211",11694,1
"212",11695,9
"213",11697,5
"214",12345,2
