"","zipcode","km2$cluster"
"1","10001",4
"2","10002",4
"3","10003",4
"4","10004",2
"5","10005",2
"6","10006",2
"7","10007",4
"8","10009",4
"9","10010",4
"10","10011",4
"11","10012",4
"12","10013",4
"13","10014",4
"14","10016",4
"15","10017",2
"16","10018",4
"17","10019",4
"18","10020",2
"19","10021",4
"20","10022",4
"21","10023",4
"22","10024",4
"23","10025",4
"24","10026",4
"25","10027",4
"26","10028",4
"27","10029",4
"28","10030",4
"29","10031",4
"30","10032",4
"31","10033",4
"32","10034",4
"33","10035",4
"34","10036",4
"35","10037",4
"36","10038",4
"37","10039",4
"38","10040",4
"39","10044",3
"40","10045",2
"41","10055",2
"42","10065",4
"43","10069",3
"44","10075",4
"45","10103",2
"46","10105",4
"47","10106",2
"48","10110",2
"49","10118",2
"50","10119",2
"51","10120",2
"52","10121",2
"53","10122",2
"54","10123",4
"55","10128",4
"56","10151",2
"57","10155",2
"58","10158",2
"59","10165",2
"60","10169",2
"61","10170",2
"62","10175",2
"63","10176",2
"64","10271",2
"65","10278",2
"66","10280",3
"67","10281",2
"68","10282",3
"69","10301",4
"70","10302",4
"71","10303",4
"72","10304",4
"73","10305",4
"74","10306",4
"75","10307",4
"76","10308",4
"77","10309",4
"78","10310",4
"79","10312",4
"80","10314",4
"81","10451",4
"82","10452",4
"83","10453",4
"84","10454",4
"85","10455",4
"86","10456",4
"87","10457",4
"88","10458",4
"89","10459",4
"90","10460",4
"91","10461",4
"92","10462",4
"93","10463",4
"94","10464",4
"95","10465",4
"96","10466",4
"97","10467",4
"98","10468",4
"99","10469",4
"100","10470",4
"101","10471",4
"102","10472",4
"103","10473",4
"104","10474",4
"105","10475",4
"106","11001",4
"107","11004",4
"108","11005",3
"109","11040",4
"110","11096",4
"111","11101",4
"112","11102",4
"113","11103",4
"114","11104",4
"115","11105",4
"116","11106",4
"117","11109",3
"118","11201",4
"119","11203",4
"120","11204",4
"121","11205",4
"122","11206",4
"123","11207",4
"124","11208",4
"125","11209",4
"126","11210",4
"127","11211",4
"128","11212",4
"129","11213",4
"130","11214",4
"131","11215",4
"132","11216",4
"133","11217",4
"134","11218",4
"135","11219",4
"136","11220",4
"137","11221",4
"138","11222",4
"139","11223",4
"140","11224",4
"141","11225",4
"142","11226",4
"143","11228",4
"144","11229",4
"145","11230",4
"146","11231",4
"147","11232",4
"148","11233",4
"149","11234",4
"150","11235",4
"151","11236",4
"152","11237",4
"153","11238",4
"154","11239",4
"155","11241",2
"156","11249",4
"157","11251",1
"158","11354",4
"159","11355",4
"160","11356",4
"161","11357",4
"162","11358",4
"163","11359",1
"164","11360",4
"165","11361",4
"166","11362",4
"167","11363",4
"168","11364",4
"169","11365",4
"170","11366",4
"171","11367",4
"172","11368",4
"173","11369",4
"174","11370",4
"175","11371",4
"176","11372",4
"177","11373",4
"178","11374",4
"179","11375",4
"180","11377",4
"181","11378",4
"182","11379",4
"183","11385",4
"184","11411",4
"185","11412",4
"186","11413",4
"187","11414",4
"188","11415",4
"189","11416",4
"190","11417",4
"191","11418",4
"192","11419",4
"193","11420",4
"194","11421",4
"195","11422",4
"196","11423",4
"197","11426",4
"198","11427",4
"199","11428",4
"200","11429",4
"201","11432",4
"202","11433",4
"203","11434",4
"204","11435",4
"205","11436",4
"206","11451",4
"207","11691",4
"208","11692",4
"209","11693",4
"210","11694",4
"211","11695",1
"212","11697",1
