"","zipcode","km$cluster"
"1",10001,3
"2",10002,3
"3",10003,3
"4",10004,4
"5",10005,4
"6",10006,4
"7",10007,3
"8",10009,3
"9",10010,3
"10",10011,3
"11",10012,3
"12",10013,3
"13",10014,3
"14",10016,3
"15",10017,4
"16",10018,3
"17",10019,3
"18",10020,4
"19",10021,3
"20",10022,3
"21",10023,3
"22",10024,3
"23",10025,3
"24",10026,3
"25",10027,3
"26",10028,3
"27",10029,3
"28",10030,3
"29",10031,3
"30",10032,3
"31",10033,3
"32",10034,3
"33",10035,3
"34",10036,3
"35",10037,3
"36",10038,3
"37",10039,3
"38",10040,3
"39",10044,2
"40",10045,4
"41",10055,4
"42",10065,3
"43",10069,2
"44",10075,3
"45",10103,4
"46",10105,2
"47",10106,4
"48",10110,4
"49",10118,4
"50",10119,4
"51",10120,4
"52",10121,4
"53",10122,4
"54",10123,3
"55",10128,3
"56",10151,4
"57",10155,4
"58",10158,4
"59",10165,4
"60",10169,4
"61",10170,4
"62",10175,4
"63",10176,4
"64",10271,4
"65",10278,4
"66",10280,3
"67",10281,4
"68",10282,3
"69",10301,3
"70",10302,3
"71",10303,3
"72",10304,3
"73",10305,3
"74",10306,3
"75",10307,3
"76",10308,3
"77",10309,3
"78",10310,3
"79",10312,3
"80",10314,3
"81",10451,3
"82",10452,3
"83",10453,3
"84",10454,3
"85",10455,3
"86",10456,3
"87",10457,3
"88",10458,3
"89",10459,3
"90",10460,3
"91",10461,3
"92",10462,3
"93",10463,3
"94",10464,3
"95",10465,3
"96",10466,3
"97",10467,3
"98",10468,3
"99",10469,3
"100",10470,3
"101",10471,3
"102",10472,3
"103",10473,3
"104",10474,3
"105",10475,3
"106",11001,3
"107",11004,3
"108",11005,2
"109",11040,3
"110",11096,2
"111",11101,3
"112",11102,3
"113",11103,3
"114",11104,3
"115",11105,3
"116",11106,3
"117",11109,3
"118",11201,3
"119",11203,3
"120",11204,3
"121",11205,3
"122",11206,3
"123",11207,3
"124",11208,3
"125",11209,3
"126",11210,3
"127",11211,3
"128",11212,3
"129",11213,3
"130",11214,3
"131",11215,3
"132",11216,3
"133",11217,3
"134",11218,3
"135",11219,3
"136",11220,3
"137",11221,3
"138",11222,3
"139",11223,3
"140",11224,3
"141",11225,3
"142",11226,3
"143",11228,3
"144",11229,3
"145",11230,3
"146",11231,3
"147",11232,3
"148",11233,3
"149",11234,3
"150",11235,3
"151",11236,3
"152",11237,3
"153",11238,3
"154",11239,3
"155",11241,4
"156",11249,3
"157",11251,1
"158",11354,3
"159",11355,3
"160",11356,3
"161",11357,3
"162",11358,3
"163",11359,2
"164",11360,3
"165",11361,3
"166",11362,3
"167",11363,3
"168",11364,3
"169",11365,3
"170",11366,3
"171",11367,3
"172",11368,3
"173",11369,3
"174",11370,3
"175",11371,3
"176",11372,3
"177",11373,3
"178",11374,3
"179",11375,3
"180",11377,3
"181",11378,3
"182",11379,3
"183",11385,3
"184",11411,3
"185",11412,3
"186",11413,3
"187",11414,3
"188",11415,3
"189",11416,3
"190",11417,3
"191",11418,3
"192",11419,3
"193",11420,3
"194",11421,3
"195",11422,3
"196",11423,3
"197",11426,3
"198",11427,3
"199",11428,3
"200",11429,3
"201",11430,1
"202",11432,3
"203",11433,3
"204",11434,3
"205",11435,3
"206",11436,3
"207",11451,2
"208",11691,3
"209",11692,3
"210",11693,3
"211",11694,3
"212",11695,2
"213",11697,2
"214",12345,3
