X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,irrlotcode,borocode,sanitdistrict,healthcenterdistrict,pfirm15_flag
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26469722,14603015.214527002,20702111.0760412,22734558.622061856,20432410.517460063,14061128.242513727,3411790.118639855,1587582.39781713,217274.48758863506,199905.22221555063,18530.621086673233,3408837.863518819,5677378.592996154,14648482.247159258,102605.35046324058
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14603015.214527002,42693100,29989124.118373826,33695125.59799431,24769921.426351666,21905179.455733992,3351620.5433134194,2226438.83832855,260558.05996073407,391316.14159201784,25466.384414178217,3360954.8873056965,7147016.638818932,15511767.058651647,166636.0899149437
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20702111.0760412,29989124.118373826,181018744,93947926.53040823,45007115.94744786,55662439.45456577,3411789.5683358125,NaN,444994.67887020705,547718.7791462833,45329.00488647653,3409422.445394004,11345616.993930612,20566456.77673566,373210.18882161006
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22734558.622061856,33695125.59799431,93947926.53040823,297143976,53071046.242202744,81887289.54814017,3411416.3692294597,11456909.377764821,593545.5058782647,623255.3617739858,53735.74107480328,3409274.0969216437,12244529.178599894,22034896.460973434,450381.7438002012
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20432410.517460063,24769921.426351666,45007115.94744786,53071046.242202744,74285994,38488913.791576184,3411521.7842422035,3250387.683537879,275101.8902073147,387697.58278516884,33385.39629237333,3408664.5902719875,13837020.201601695,20301818.00300676,292801.17336515646
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14061128.242513727,21905179.455733992,55662439.45456577,81887289.54814017,38488913.791576184,194680536,2057945.3829223088,6183794.7244814765,275085.3553326803,456905.53827563854,36727.007454621846,2059647.4952938827,9700391.695953686,15539867.800508838,356206.9969640681
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3411790.118639855,3351620.5433134194,3411789.5683358125,3411416.3692294597,3411521.7842422035,2057945.3829223088,3415448.0000000005,416966.01448485686,104830.53504740588,153639.02842481903,11681.826440578263,3405436.5267706555,693178.6499994757,3405563.3696371047,5589.050256194259
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1587582.39781713,2226438.83832855,NaN,11456909.377764821,3250387.683537879,6183794.7244814765,416966.01448485686,52084057,100837.71538135268,32407.213933932788,7724.635214988064,417116.7503134227,606556.3815551938,1384681.8712599128,19570.852304440137
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217274.48758863506,260558.05996073407,444994.67887020705,593545.5058782647,275101.8902073147,275085.3553326803,104830.53504740588,100837.71538135268,2561586,41161.395378546324,19269.02730622089,104331.44467872943,36490.675383163565,227170.09804997113,2948.297575298703
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199905.22221555063,391316.14159201784,547718.7791462833,623255.3617739858,387697.58278516884,456905.53827563854,153639.02842481903,32407.213933932788,41161.395378546324,853862,4117.404421673121,153682.47901831483,162773.6090960973,186930.14631362128,789.9100879000675
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18530.621086673233,25466.384414178217,45329.00488647653,53735.74107480328,33385.39629237333,36727.007454621846,11681.826440578263,7724.635214988064,19269.02730622089,4117.404421673121,853862,11666.673604396128,11177.572559833781,20517.32402260698,1751.076679976026
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3408837.863518819,3360954.8873056965,3409422.445394004,3409274.0969216437,3408664.5902719875,2059647.4952938827,3405436.5267706555,417116.7503134227,104331.44467872943,153682.47901831483,11666.673604396128,3415448,694317.75802211,3415025.8353003417,5642.407680301382
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5677378.592996154,7147016.638818932,11345616.993930612,12244529.178599894,13837020.201601695,9700391.695953686,693178.6499994757,606556.3815551938,36490.675383163565,162773.6090960973,11177.572559833781,694317.75802211,22200412,4693744.167758481,115949.68246883313
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14648482.247159258,15511767.058651647,20566456.77673566,22034896.460973434,20301818.00300676,15539867.800508838,3405563.3696371047,1384681.8712599128,227170.09804997113,186930.14631362128,20517.32402260698,3415025.8353003417,4693744.167758481,29031308,121098.35391647738
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102605.35046324058,166636.0899149437,373210.18882161006,450381.7438002012,292801.17336515646,356206.9969640681,5589.050256194259,19570.852304440137,2948.297575298703,789.9100879000675,1751.076679976026,5642.407680301382,115949.68246883313,121098.35391647738,853862.0000000001
